authors,title,project,journal,url,year,complete
"Freeman, P.E.; Izbicki, R.; Lee, A.B.","A unified framework for constructing, tuning and assessing photometric redshift density estimates in a selection bias setting",nonparametric,Monthly Notices of the Royal Astronomical Society,https://academic.oup.com/mnras/article-abstract/468/4/4556/3092378,2017,0
"Stern, J. M.; Izbicki, R.; Esteves, L. G.; Stern, R. B.",Logically-consistent hypothesis testing and the hexagon of oppositions,hypothesis,Logic Journal of the IGPL,https://academic.oup.com/jigpal/article/25/5/741/3979884,2017,0
"Fossaluza, V.; Izbicki, R.; da Silva, G.M.; Esteves, L.G.",Coherent hypothesis testing,hypothesis,The American Statistician,https://www.tandfonline.com/doi/abs/10.1080/00031305.2016.1237893,2017,0
"Esteves, L.G.; Izbicki, R.; Stern, R.B.",Teaching decision theory proof strategies using a crowdsourcing problem,bayesian,"The American Statistician 71 (4), 336-343",https://www.tandfonline.com/doi/abs/10.1080/00031305.2016.1264316?journalCode=utas20,2017,1
"Zuanetti, D. A.; Milan, L.A.",Second-order Autoregressive Hidden Markov Model,bayesian,Brazilian Journal of Probability and Statistics,https://projecteuclid.org/euclid.bjps/1503388833,2017,0
"Zuanetti, D. A.; Milan, L. A.",A generalized mixture model applied to diabetes incidence data,bayesian,Biometrical Journal,https://www.ncbi.nlm.nih.gov/pubmed/28321898,2017,0
"Stern, J. M., Izbicki, R., Esteves, L. G., Stern, R. B.",Logically-consistent hypothesis testing and the hexagon of oppositions,foundations,Logic Journal of the IGPL,https://academic.oup.com/jigpal/article/25/5/741/3979884?guestAccessKey=245aaadd-2de5-4e30-9b71-c619153312fe,2017,0
"Fossaluza, V.; Izbicki, R.; da Silva, G.M.; Esteves, L.G.",Coherent hypothesis testing,foundations,The American Statistician,https://www.tandfonline.com/doi/abs/10.1080/00031305.2016.1237893,2017,0
"Vaz, A. F., Izbicki, R. Stern, R.B.",Quantification under prior probability shift: the ratio estimator and its extensions,domain-shift,Work in progress,https://arxiv.org/abs/1807.03929,2018,0
"Ceregatti, R. de C., Izbicki, R. Salasar, L.E.B.",WIKS: A general Bayesian nonparametric index for quantifying differences between two populations,hypothesis,Work in progress,,2018,0
"Inacio, M. H. de A.; Izbicki, R.; Salasar, L. E. B.",Comparing two populations using Bayesian Fourier series density estimation,bayesian,Communications in Statistics – Simulation and Computation,https://www.tandfonline.com/doi/abs/10.1080/03610918.2018.1484480?journalCode=lssp20,2018,0
"Diniz, M. A.; Izbicki, R.; Lopes, D. L.; Salasar, L. E. B.",Comparing probabilistic predictive models applied to football,bayesian,Journal of the Operational Research Society,https://www.tandfonline.com/doi/abs/10.1080/01605682.2018.1457485,2018,0
"Cisewski, J.; Kadane, J. B.; Schervish, M. J., Seidenfeld, T.; Stern, R. B.",Standards for Modest Bayesian Credences,foundations,"Philosophy of Science 85 (1), 53-78",https://www.journals.uchicago.edu/doi/10.1086/694836,2018,1
"Esteves, L. G.; Izbicki, R.; Stern, R. B.; Stern, J. M.",Pragmatic hypotheses in the evolution of science,bayesian,Work in progress,https://arxiv.org/abs/1812.09998,2018,0
"Zuanetti, D. A.; Müller, P.; Zhu, Y.; Yang, S.; Ji, Y.",Clustering distributions with the marginalized nester Dirichlet process,bayesian,"Biometrics 74 (2), 584-594",https://onlinelibrary.wiley.com/doi/full/10.1111/biom.12778,2018,1
"Izbicki, R.; Lee, A. B.; Pospisil, T.",ABC-CDE: Towards Approximate Bayesian Computation with Complex High-Dimensional Data and Limited Simulations,nonparametric,Journal of Computational and Graphical Statistics,https://www.tandfonline.com/doi/abs/10.1080/10618600.2018.1546594?journalCode=ucgs20,2019,0
"Izbicki, R.; Lee, A. B.; Pospisil, T.",ABC-CDE: Towards Approximate Bayesian Computation with Complex High-Dimensional Data and Limited Simulations,bayesian,Journal of Computational and Graphical Statistics,https://www.tandfonline.com/doi/abs/10.1080/10618600.2018.1546594?journalCode=ucgs20,2019,0
"Coscrato, V., Izbicki, R. Stern, R.B.",Agnostic tests can control the type I and type II errors simultaneously,hypothesis,Brazilian Journal of Probability and Statistics,https://arxiv.org/abs/1805.04620,2019,0
"Ceregatti, R. de C., Izbicki, R. Salasar, L.E.B.",WIKS: A general Bayesian nonparametric index for quantifying differences between two populations,bayesian,Work in progress,https://arxiv.org/abs/1806.08307,2019,0
"Zuanetti, D. A.; Müller, P.; Zhu, Y.; Yang, S.; Ji, Y.",Bayesian nonparametric clustering for large data sets,bayesian,"Statistics and Computing 29 (2), 203-215",https://link.springer.com/article/10.1007/s11222-018-9803-9,2019,1
"Coscrato, V.; Esteves, L. G; Izbicki, R.; Stern, R. B.",Interpretable hypothesis tests,hypothesis,Work in progress,https://arxiv.org/abs/1904.06605,2019,0
